gp-common-timestamp,before,dirty_reboot_time
2024-03-21T04:54:19Z,"[2024-02-16T17:15:33+00:00]: The resource property GPU_SXM_7 NVLink_17 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-02-16T17:15:35+00:00]: The resource property GPU_SXM_4 NVLink_17 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-02-16T17:40:23+00:00]: The resource property GPU_SXM_7 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-02-16T17:40:30+00:00]: The resource property GPU_SXM_6 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-02-16T17:40:32+00:00]: The resource property GPU_SXM_5 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-02-16T17:40:37+00:00]: The resource property GPU_SXM_4 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-02-16T17:40:42+00:00]: The resource property GPU_SXM_3 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-02-16T17:40:44+00:00]: The resource property GPU_SXM_2 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-02-16T17:40:46+00:00]: The resource property GPU_SXM_1 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-02-16T17:41:18+00:00]: The resource property GPU_SXM_8 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-07T03:20:21+00:00]: The resource property HMC_0 Firmware has detected errors of type 'WriteProtected'.; Resolution: If WP enabled, ERoT/AP shall not be able to update SPI. This is a HW protection., Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-11T02:14:52+00:00]: The resource property GPU_SXM_5 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:44:26+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][161][00] XID 45 Ch 0000000f'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:44:29+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][162][00] XID 74 NVLink: fatal error detected on link 17(0x0; 0x0; 0x10000; 0'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:46:07+00:00]: The resource property GPU_SXM_7 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][80][00] XID 45 Ch 0000000f'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:46:09+00:00]: The resource property GPU_SXM_7 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][81][00] XID 74 NVLink: fatal error detected on link 15(0x0; 0x0; 0x10000; 0'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:47:50+00:00]: The resource property GPU_SXM_8 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:25 UTC 2024][161][00] XID 45 Ch 0000000f'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:47:52+00:00]: The resource property GPU_SXM_8 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:25 UTC 2024][162][00] XID 74 NVLink: fatal error detected on link 17(0x0; 0x0; 0x10000; 0'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:48:24+00:00]: The resource property NVSwitch_0 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][240][02] SXID 24007 Data {0x00000020; 0x0000003e; 0x00000020; 0x0000003e; 0x00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:48:25+00:00]: The resource property NVSwitch_0 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][241][00] SXID 24007 Fatal; Link 57 sourcetrack timeout error (First)3e'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
